	mean fractional importance	mean cluster ratio	reaction count
Glycine_Biosynthesis	0.062468565872604714	0.9967686658506733	2
CBSS-296591.1.peg.2330	0.05647389462554813	0.5248544537846715	1
Lacto-N-Biose_I_and_Galacto-N-Biose_Metabolic_Pathway	0.05647389462554813	0.5248544537846715	1
N-linked_Glycosylation_in_Bacteria	0.05647389462554813	0.5248544537846715	1
Rhamnose_containing_glycans	0.05647389462554813	0.5248544537846715	1
linker_unit-arabinogalactan_synthesis	0.05647389462554813	0.5248544537846715	1
Homocitrate_to_2-oxoadipate_module	0.03873730798316459	0.6533365563818863	1
D-galactonate_catabolism	0.03376864542463005	0.5060636390102349	2
Threonine_degradation	0.032837073242384725	0.5222022670223241	4
Streptococcal_Hyaluronic_Acid_Capsule	0.03186432316868417	0.37925788019892204	2
Staphylococcal_pathogenicity_islands_SaPI	0.031262835885510744	0.4181489745027573	1
CBSS-258594.1.peg.3339	0.03096958904454936	0.7342533162379783	1
Auxin_biosynthesis	0.028926090990987148	0.6526909072119811	4
Propanoate_to_succinate_module	0.026549474802816376	0.5051139018239392	2
CBSS-266117.6.peg.2476	0.024955473847657988	0.8358383189843864	6
Putative_diaminopropionate_ammonia-lyase_cluster	0.024955473847657988	0.8358383189843864	6
Lysine_biosynthesis_AAA_pathway_2	0.02188210964368207	0.7563490902246963	2
Mannose_Metabolism	0.02116666749423434	0.4774228837403848	5
Purine_Utilization	0.020822002221217047	0.8343496567930356	12
Chitin_and_N-acetylglucosamine_utilization	0.0203424752611166	0.4688194632031884	5
GABA_and_putrescine_metabolism_from_cluters	0.01817243129338361	0.6399838873259525	2
Sialic_Acid_Metabolism	0.017437261367620867	0.4152997082794611	12
Hydantoin_metabolism	0.016818188451623344	0.5290171739177569	2
Tryptophan_synthesis	0.01623076011221058	0.40285591629904494	8
Methylcitrate_cycle	0.015458098485977926	0.4538092438534659	4
Lysine_Biosynthesis_DAP_Pathway	0.015122657373812628	0.36631832525306035	5
Experimental_-_Histidine_Degradation	0.015106719122521631	0.6998816442175819	3
Histidine_Degradation	0.015106719122521631	0.6998816442175819	3
L-fucose_utilization	0.014869786661889242	0.535815272097586	5
CBSS-205922.3.peg.1809	0.014294919376702913	0.9762160228898427	1
Propionate-CoA_to_Succinate_Module	0.01403909758057956	0.3142449137202745	4
Carbon_monoxide_induced_hydrogenase	0.013182973866271592	0.2610573770952792	1
CBSS-502800.3.peg.2785	0.013165362203887566	0.5636970536509651	8
Allantoin_Utilization	0.012964695045619451	0.7751995473623865	7
Allantoin_degradation	0.012964695045619451	0.7751995473623865	7
PTS_uptake_system_scrtach	0.012948147023648089	0.5400613318345362	22
CBSS-269801.1.peg.809	0.012509212109304132	0.3461128632245479	1
Fructose_and_Mannose_Inducible_PTS	0.012398267822385978	0.5332326823196789	14
Mannitol_Utilization	0.012398267822385978	0.5332326823196789	14
HPr_catabolite_repression_system	0.012398267822385978	0.533232682319679	7
Threonine_anaerobic_catabolism_gene_cluster	0.011973360242620447	0.6277484139460187	6
ZZ_gjo_scratch	0.01166986507207709	0.7174442307796487	3
Galactose-inducible_PTS	0.011665012247662724	0.5427538648429048	15
Sucrose-specific_PTS	0.011113675376868054	0.5054380856984009	16
D-ribose_utilization	0.010552858986516154	0.4022618298801322	2
LMPTP_YwlE_cluster	0.010552858986516154	0.4022618298801322	1
Sucrose_Metabolism	0.009505911929157078	0.3419018887757709	8
271-Bsub	0.009449525203280056	0.32570641037200565	11
CBSS-393123.3.peg.2365	0.009442610391951484	0.8425772589671305	2
Formate_hydrogenase	0.009301408627878413	0.766294448187196	4
Methionine_Biosynthesis_short	0.009291067390661129	0.2527346328969726	3
COG2363	0.00926715676914328	0.3950255383366524	1
Thiamin_biosynthesis	0.00926715676914328	0.3950255383366524	1
Inositol_catabolism	0.009215507666579817	0.3952527591586194	2
Lactose_and_Galactose_Uptake_and_Utilization	0.009193555589476692	0.6053102739524949	8
Sugar_catabolome_in_Shewanella_species	0.008425320392660458	0.47609105010624847	45
L-rhamnose_utilization	0.008374363977116266	0.41340314409745416	16
Experimental_tye	0.008042469992026798	0.29674468981325514	2
Heme_and_Siroheme_Biosynthesis	0.008042469992026798	0.29674468981325514	2
Heme_temp_review	0.008042469992026798	0.29674468981325514	2
Pyruvate_Alanine_Serine_Interconversions	0.007987384857283104	0.4497467055459221	9
CBSS-198215.1.peg.1051	0.007633925722427035	0.5144470993188137	2
Quinate_degradation	0.007576503831229722	0.8285042683124584	1
