Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1112","spr1022","VBIStrPne107296_1112","PATRIC.171101.6.NC_003098.CDS.1001272.1002135.fwd","PATRIC","CDS",1001272,1002135,864,"+","FIG01310900","PLF_1301_00001531","PGF_00035026","NP_358616.1",287,"rggD","Positive transcriptional regulator, MutR family",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1113","spr1023","VBIStrPne107296_1113","PATRIC.171101.6.NC_003098.CDS.1002215.1003393.fwd","PATRIC","CDS",1002215,1003393,1179,"+","FIG01341315","PLF_1301_00000936","PGF_00002190","NP_358617.1",392,"ABC-MSP","Uncharacterized MFS-type transporter",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1114","spr1024","VBIStrPne107296_1114","PATRIC.171101.6.NC_003098.CDS.1003486.1005444.fwd","PATRIC","CDS",1003486,1005444,1959,"+","FIG00051439","PLF_1301_00000260","PGF_04333086","NP_358618.1",652,"ligA","DNA ligase (NAD(+)) (EC 6.5.1.2)","GO:0003911|DNA ligase (NAD+) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1115","spr1025","VBIStrPne107296_1115","PATRIC.171101.6.NC_003098.CDS.1005556.1007835.fwd","PATRIC","CDS",1005556,1007835,2280,"+","FIG01955916","PLF_1301_00001293","PGF_00035881","NP_358619.1",759,"pulI","Predicted glycogen debranching enzyme (pullulanase-like, but lacking signal peptide)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1116","spr1028","VBIStrPne107296_1116","PATRIC.171101.6.NC_003098.CDS.1008379.1009803.fwd","PATRIC","CDS",1008379,1009803,1425,"+","FIG00001608","PLF_1301_00000735","PGF_00008506","NP_358622.1",474,"gapN","Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (EC 1.2.1.9)","GO:0008886|glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1117","spr1029","VBIStrPne107296_1117","PATRIC.171101.6.NC_003098.CDS.1010268.1012196.fwd","PATRIC","CDS",1010268,1012196,1929,"+","FIG00024930","PLF_1301_00000565","PGF_09031534","NP_358623.1",642,"glgB","1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.110",,"VBIStrPne107296_0110","PATRIC.171101.6.NC_003098.CDS.101153.101413.rev","PATRIC","CDS",101153,101413,261,"-","FIG01335776","PLF_1301_00021477","PGF_03497629",,86,,"BOX elements",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.111",,"VBIStrPne107296_0111","PATRIC.171101.6.NC_003098.CDS.101181.101438.fwd","PATRIC","CDS",101181,101438,258,"+","FIG01349059","PLF_1301_00032034","PGF_03497629",,85,,"BOX elements",
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1118","spr1030","VBIStrPne107296_1118","PATRIC.171101.6.NC_003098.CDS.1012186.1013328.fwd","PATRIC","CDS",1012186,1013328,1143,"+","FIG00000717","PLF_1301_00000609","PGF_10149521","NP_358624.1",380,"glgC","Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)","GO:0008878|glucose-1-phosphate adenylyltransferase activity"
"Streptococcus pneumoniae R6","171101.6","NC_003098","fig|171101.6.peg.1119","spr1031","VBIStrPne107296_1119","PATRIC.171101.6.NC_003098.CDS.1013318.1014457.fwd","PATRIC","CDS",1013318,1014457,1140,"+","FIG00002944","PLF_1301_00001190","PGF_00008864","NP_358625.1",379,"glgD","Glycogen biosynthesis protein GlgD, glucose-1-phosphate adenylyltransferase family","GO:0009058|biosynthetic process;GO:0016779|nucleotidyltransferase activity"
