Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.943","SAOUHSC_01030","VBIStaAur99865_0943","PATRIC.93061.5.NC_007795.CDS.1000346.1000579.rev","PATRIC","CDS",1000346,1000579,234,"-","FIG00003291","PLF_1279_00001903","PGF_10319102","YP_499579.1",77,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.944","SAOUHSC_01031","VBIStaAur99865_0944","PATRIC.93061.5.NC_007795.CDS.1000777.1002138.fwd","PATRIC","CDS",1000777,1002138,1362,"+","FIG00096593","PLF_1279_00000989","PGF_01605461","YP_499580.1",453,,"Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-)","GO:0006118|electron transport;GO:0016020|membrane;GO:0016491|oxidoreductase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.945","SAOUHSC_01032","VBIStaAur99865_0945","PATRIC.93061.5.NC_007795.CDS.1002135.1003154.fwd","PATRIC","CDS",1002135,1003154,1020,"+","FIG00000390","PLF_1279_00001254","PGF_00420574","YP_499581.1",339,,"Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)","GO:0006118|electron transport;GO:0016020|membrane"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.946","SAOUHSC_01034","VBIStaAur99865_0946","PATRIC.93061.5.NC_007795.CDS.1003287.1003949.fwd","PATRIC","CDS",1003287,1003949,663,"+","FIG00000838","PLF_1279_00000620","PGF_02993851","YP_499582.1",220,,"KtrCD potassium uptake system, peripheral membrane component KtrC",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.947",,"VBIStaAur99865_0947","PATRIC.93061.5.NC_007795.CDS.1003914.1004072.rev","PATRIC","CDS",1003914,1004072,159,"-","FIG01107883","PLF_1279_00085250","PGF_06948372",,52,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.948","SAOUHSC_A00992","VBIStaAur99865_0948","PATRIC.93061.5.NC_007795.CDS.1003967.1004122.fwd","PATRIC","CDS",1003967,1004122,156,"+","FIG00638284","PLF_1279_00132969","PGF_08225224","YP_499583.1",51,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.949",,"VBIStaAur99865_0949","PATRIC.93061.5.NC_007795.CDS.1003985.1004164.rev","PATRIC","CDS",1003985,1004164,180,"-","FIG01107883","PLF_1279_00089274","PGF_06948372",,59,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.950",,"VBIStaAur99865_0950","PATRIC.93061.5.NC_007795.CDS.1004103.1004195.fwd","PATRIC","CDS",1004103,1004195,93,"+",,"PLF_1279_00130908","PGF_08422434",,30,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.951","SAOUHSC_01035","VBIStaAur99865_0951","PATRIC.93061.5.NC_007795.CDS.1004298.1005995.rev","PATRIC","CDS",1004298,1005995,1698,"-","FIG01300409","PLF_1279_00000869","PGF_00048564","YP_499584.1",565,,"Ribonuclease J1 (endonuclease and 5' exonuclease)",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.84","SAOUHSC_00094","VBIStaAur99865_0084","PATRIC.93061.5.NC_007795.CDS.100455.101054.fwd","PATRIC","CDS",100455,101054,600,"+","FIG00016952","PLF_1279_00002190","PGF_00035770","YP_498695.1",199,,"Predicted cell-wall-anchored protein SasD (LPXAG motif)","GO:0009986|cell surface"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.952","SAOUHSC_01036","VBIStaAur99865_0952","PATRIC.93061.5.NC_007795.CDS.1005995.1006213.rev","PATRIC","CDS",1005995,1006213,219,"-","FIG00001611","PLF_1279_00000934","PGF_00038255","YP_499585.1",72,,"Protein of unknown function DUF1447",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.953","SAOUHSC_01038","VBIStaAur99865_0953","PATRIC.93061.5.NC_007795.CDS.1006694.1007245.rev","PATRIC","CDS",1006694,1007245,552,"-","FIG00000017","PLF_1279_00000817","PGF_00030655","YP_499587.1",183,"def","Peptide deformylase (EC 3.5.1.88)","GO:0042586|peptide deformylase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.954","SAOUHSC_01039","VBIStaAur99865_0954","PATRIC.93061.5.NC_007795.CDS.1007610.1008236.fwd","PATRIC","CDS",1007610,1008236,627,"+","FIG01108151","PLF_1279_00001928","PGF_08225224","YP_499588.1",208,,"hypothetical protein",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.955","SAOUHSC_01040","VBIStaAur99865_0955","PATRIC.93061.5.NC_007795.CDS.1008407.1009519.fwd","PATRIC","CDS",1008407,1009519,1113,"+","FIG00053889","PLF_1279_00000868","PGF_00502238","YP_499589.1",370,,"Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)","GO:0004739|pyruvate dehydrogenase (acetyl-transferring) activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.956","SAOUHSC_01041","VBIStaAur99865_0956","PATRIC.93061.5.NC_007795.CDS.1009523.1010500.fwd","PATRIC","CDS",1009523,1010500,978,"+","FIG00025527","PLF_1279_00000936","PGF_03145455","YP_499590.1",325,,"Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)","GO:0004739|pyruvate dehydrogenase (acetyl-transferring) activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.85",,"VBIStaAur99865_0085","PATRIC.93061.5.NC_007795.CDS.101020.101178.fwd","PATRIC","CDS",101020,101178,159,"+","FIG00016952","PLF_1279_00002190","PGF_00035770",,52,,"Predicted cell-wall-anchored protein SasD (LPXAG motif)","GO:0009986|cell surface"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.957","SAOUHSC_01042","VBIStaAur99865_0957","PATRIC.93061.5.NC_007795.CDS.1010591.1011883.fwd","PATRIC","CDS",1010591,1011883,1293,"+","FIG00136675","PLF_1279_00000924","PGF_01915472","YP_499591.1",430,,"Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)","GO:0004742|dihydrolipoyllysine-residue acetyltransferase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.958","SAOUHSC_01043","VBIStaAur99865_0958","PATRIC.93061.5.NC_007795.CDS.1011887.1013293.fwd","PATRIC","CDS",1011887,1013293,1407,"+","FIG01303880","PLF_1279_00036500","PGF_05197855","YP_499592.1",468,,"Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)","GO:0004148|dihydrolipoyl dehydrogenase activity"
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.959","SAOUHSC_01044","VBIStaAur99865_0959","PATRIC.93061.5.NC_007795.CDS.1013461.1013736.fwd","PATRIC","CDS",1013461,1013736,276,"+","FIG00006438","PLF_1279_00002027","PGF_02011114","YP_499593.1",91,,"UPF0223 protein YktA",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.86","SAOUHSC_00096","VBIStaAur99865_0086","PATRIC.93061.5.NC_007795.CDS.101370.102110.rev","PATRIC","CDS",101370,102110,741,"-","FIG01320334","PLF_1279_00001365","PGF_00036237","YP_498696.1",246,,"Predicted regulator for deoxynucleoside utilization, GntR family",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.960","SAOUHSC_01045","VBIStaAur99865_0960","PATRIC.93061.5.NC_007795.CDS.1013880.1014419.fwd","PATRIC","CDS",1013880,1014419,540,"+","FIG00103661","PLF_1279_00062515","PGF_00195855","YP_499594.1",179,,"Transcriptional regulator, MerR family, near polyamine transporter",
"Staphylococcus aureus subsp. aureus NCTC 8325","93061.5","NC_007795","fig|93061.5.peg.961","SAOUHSC_01046","VBIStaAur99865_0961","PATRIC.93061.5.NC_007795.CDS.1014432.1015526.fwd","PATRIC","CDS",1014432,1015526,1095,"+","FIG00007514","PLF_1279_00000338","PGF_08196377","YP_499595.1",364,,"Spermidine/putrescine import ABC transporter ATP-binding protein PotA (TC 3.A.1.11.1)",
